Source: USDA National Nutrient Database for Standard Reference 28 Software v.3.5.5.2 2016-11-26
"Nutrients: Protein (g); Carbohydrate, by difference (g); Total lipid (fat) (g)"
"Food Groups: Baked Products; Breakfast Cereals; Cereal Grains and Pasta; Fats and Oils; Fruits and Fruit Juices; Legumes and Legume Products; Nut and Seed Products; Spices and Herbs; Vegetables and Vegetable Products"
Food Subset:Abridged List
Ordered by:Food Name
Measured by:100 g
Report Run at: 11-29-2016T06:38
NDB_NO,Description,"Protein"(g)Per 100 g,"Carbohydrate, by difference"(g)Per 100 g,"Total lipid (fat)"(g)Per 100 g,
09138,"Groundcherries, (cape-gooseberries or poha), raw",1.9,11.2,0.7,,
18640,"HEINZ, WEIGHT WATCHER, Chocolate Eclair, frozen",4.4,40.3,6.9,,
11225,"Hyacinth-beans, immature seeds, cooked, boiled, drained, without salt",2.95,9.2,0.27,,
11232,"Jute, potherb, cooked, boiled, drained, without salt",3.68,7.29,0.2,,
11235,"Kale, frozen, unprepared",2.66,4.9,0.46,,
11233,"Kale, raw",4.28,8.75,0.93,,
11237,"Kanpyo, (dried gourd strips)",8.58,65.03,0.56,,
18982,"KASHI, H2H Woven Wheat Cracker, Roasted Garlic",10.5,73.2,11.7,,
18974,"KASHI, TLC, Honey Sesame Crackers",8.7,72.2,10.4,,
18975,"KASHI, TLC, Original 7-Grain Crackers",13.9,63.2,11.9,,
18608,"KEEBLER, KEEBLER Chocolate Graham SELECTS",7.1,71.8,16.6,,
18609,"KEEBLER, Vanilla Wafers",4.0,73.1,17.4,,
18956,"Keikitos (muffins), Latino bakery item",6.81,53.16,25.24,,
18507,"KELLOGG'S EGGO Lowfat Blueberry Nutri-Grain Waffles",5.95,42.71,2.83,,
18992,"KELLOGG'S, BEANATURAL, Original 3-Bean Chips",22.9,46.5,25.3,,
18995,"KELLOGG'S, EGGO, Biscuit Scramblers, Bacon, Egg  &  Cheese",8.8,38.3,7.9,,
18997,"KELLOGG'S, EGGO, French Toaster Sticks, Cinnamon",4.8,42.6,6.9,,
18999,"KELLOGG'S, EGGO, Mini Muffin Tops, Blueberry",5.0,45.8,10.2,,
18506,"KELLOGG'S, EGGO, NUTRI-GRAIN, Waffles, Low Fat",6.5,39.0,3.5,,
18505,"KELLOGG'S, EGGO, Waffles, Homestyle, Low Fat",6.3,44.9,3.5,,
09148,"Kiwifruit, green, raw",1.14,14.66,0.52,,
11247,"Leeks, (bulb and lower leaf-portion), cooked, boiled, drained, without salt",0.81,7.62,0.2,,
09152,"Lemon juice, raw",0.35,6.9,0.24,,
11032,"Lima beans, immature seeds, cooked, boiled, drained, without salt",6.81,23.64,0.32,,
11040,"Lima beans, immature seeds, frozen, baby, cooked, boiled, drained, without salt",6.65,19.45,0.3,,
11039,"Lima beans, immature seeds, frozen, baby, unprepared",7.59,25.14,0.44,,
11037,"Lima beans, immature seeds, frozen, fordhook, unprepared",6.4,19.83,0.35,,
09160,"Lime juice, raw",0.42,8.42,0.07,,
09164,"Litchis, raw",0.83,16.53,0.44,,
09167,"Loganberries, frozen",1.52,13.02,0.31,,
16509,"LOMA LINDA Linketts, canned, unprepared",21.3,4.4,11.8,,
16505,"LOMA LINDA Swiss Stake with Gravy, canned, unprepared",10.2,10.4,6.2,,
09173,"Longans, dried",4.9,74.0,0.4,,
20106,"Macaroni, vegetable, enriched, cooked",4.53,26.61,0.11,,
20105,"Macaroni, vegetable, enriched, dry",13.14,74.88,1.04,,
09176,"Mangos, raw",0.82,14.98,0.38,,
04585,"Margarine-like, margarine-butter blend, soybean oil and butter",0.31,0.77,80.32,,
18615,"MARTHA WHITE FOODS, Martha White's Buttermilk Biscuit Mix, dry",7.81,59.41,13.23,,
18614,"MARTHA WHITE FOODS, Martha White's Chewy Fudge Brownie Mix, dry",4.42,83.58,6.16,,
18612,"MCKEE BAKING, LITTLE DEBBIE NUTTY BARS, Wafers with Peanut Butter, Chocolate Covered",8.0,55.2,32.8,,
18616,"MISSION FOODS, MISSION Flour Tortillas, Soft Taco, 8 inch",8.7,49.6,6.0,,
16162,"MORI-NU, Tofu, silken, firm",6.9,2.4,2.7,,
16607,"MORNINGSTAR FARMS Buffalo Chik Patties, frozen, unprepared",12.1,25.2,12.8,,
11259,"Mountain yam, hawaii, cooked, steamed, without salt",1.73,20.0,0.08,,
11258,"Mountain yam, hawaii, raw",1.34,16.3,0.1,,
18940,"Muffin, blueberry, commercially prepared, low-fat",4.23,50.05,4.22,,
11044,"Mung beans, mature seeds, sprouted, cooked, boiled, drained, without salt",2.03,4.19,0.09,,
11239,"Mushrooms, Chanterelle, raw",1.49,6.86,0.53,,
11243,"Mushrooms, portabella, grilled",3.28,4.44,0.58,,
18617,"NABISCO, NABISCO GRAHAMS Crackers",6.99,76.2,10.0,,
18619,"NABISCO, NABISCO OREO CRUNCHIES, Cookie Crumb Topping",4.78,70.23,21.5,,
18621,"NABISCO, NABISCO RITZ Crackers",7.23,63.51,23.21,,
20409,"Noodles, egg, dry, unenriched",14.16,71.27,4.44,,
20112,"Noodles, egg, spinach, enriched, cooked",5.04,24.25,1.57,,
20410,"Noodles, egg, unenriched, cooked, without added salt",4.54,25.16,2.07,,
20117,"Noodles, japanese, somen, cooked",4.0,27.54,0.18,,
20116,"Noodles, japanese, somen, dry",11.35,74.1,0.81,,
12695,"Nuts, almond butter, plain, with salt added",20.96,18.82,55.5,,
12063,"Nuts, almonds, dry roasted, without salt added",20.96,21.01,52.54,,
12084,"Nuts, butternuts, dried",24.9,12.05,56.98,,
12095,"Nuts, chestnuts, chinese, boiled and steamed",2.88,33.64,0.76,,
